# ExperimentSet [id=resultsExperiments/timelinessDisruption/newexp_V16E2D25.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=25.0, nEdges=2, nNodes=16, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, concurVersTime, deltaCT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceQ, workWhenQuiescenceM, workWhenConcurVersFreenessC, workWhenConcurVersFreenessM, workWhenRequestMQFC, lossWorkByQuiescence, lossWorkByVC_Blocking, lossWorkByVC_ConcurVers 
C3,-1577489105,250.0,1285.714,1035.714,1232.0698,982.0698,1232.0698,982.0698,70684.195,101780.36,43809.37,106562.03,97114.85,101780.36,12860.775,62752.664,31096.164,4665.508
C8,468501319,250.0,981.40405,731.40405,897.8633,647.8633,897.8633,647.8633,64639.35,70996.72,69237.36,78310.336,70734.625,70996.72,10515.76,9072.98,6357.371,262.09766
C1,-1869548146,250.0,1938.7356,1688.7356,1824.485,1574.485,1824.485,1574.485,115373.99,202834.89,53725.094,217100.55,192310.81,202834.88,12247.838,163375.44,87460.89,10524.0625
C1,-1409282735,250.0,5050.9985,4800.9985,5139.146,4889.146,5139.146,4889.146,651793.6,887614.4,467339.38,869402.1,872226.06,887614.4,11158.599,402062.72,235820.75,15388.3125
C3,159747449,250.0,667.67676,417.67676,601.9679,351.9679,601.9679,351.9679,38261.066,40865.812,41365.57,48087.816,40041.457,40865.816,8200.305,6722.246,2604.746,824.3594
C4,2084122642,250.0,2614.599,2364.599,1637.8235,1387.8235,1637.8235,1387.8235,146820.27,169952.98,181503.34,292463.47,165976.86,169953.0,10820.143,110960.11,23132.719,3976.1406
C3,176527414,250.0,2127.7139,1877.7139,1791.7217,1541.7217,1791.7217,1541.7217,139884.64,189148.5,109126.51,230466.33,184394.56,189148.48,10642.192,121339.83,49263.867,4753.922
C2,1949557543,250.0,1004.0868,754.0868,584.23737,334.23737,584.23737,334.23737,38002.562,40078.19,75056.97,84709.16,39606.105,40078.188,10525.506,9652.1875,2075.627,472.08203
C14,-2124536784,250.0,921.894,671.894,914.23596,664.23596,914.23596,664.23596,60822.51,64509.117,59558.82,65201.777,64071.06,64509.12,8899.784,5642.957,3686.6055,438.0625
C7,-1402574388,250.0,2768.0024,2518.0024,2705.7922,2455.7922,2705.7922,2455.7922,235603.95,295634.84,211412.17,303285.97,293575.38,295634.8,9468.413,91873.8,60030.89,2059.4375
C1,357533351,250.0,3453.4658,3203.4658,3534.7842,3284.7842,3534.7842,3284.7842,211588.6,406688.78,53079.555,396499.4,395788.47,406688.8,9964.074,343419.88,195100.2,10900.344
C3,-745000173,250.0,1354.4938,1104.4938,820.47003,570.47003,820.47003,570.47003,54071.754,58581.035,87851.39,115489.27,56950.07,58581.027,9879.719,27637.883,4509.2773,1630.957
C4,119658930,250.0,1749.7374,1499.7374,1877.3378,1627.3378,1877.3378,1627.3378,163973.42,228762.31,109228.164,209304.05,220815.45,228762.34,11043.894,100075.88,64788.89,7946.8906
C5,-47748695,250.0,936.7611,686.7611,852.35657,602.35657,852.35657,602.35657,65472.426,70273.1,70800.83,78645.42,69898.4,70273.1,11105.807,7844.5977,4800.6797,374.70312
C3,732230767,250.0,1422.2203,1172.2203,459.64435,209.64435,459.64435,209.64435,26905.547,27098.902,153481.28,166677.39,27037.805,27098.904,8880.691,13196.109,193.35547,61.09961
C2,-286604446,250.0,969.74036,719.74036,873.8911,623.8911,873.8911,623.8911,57867.695,64787.934,56885.324,74218.45,62946.91,64787.934,10954.792,17333.125,6920.2344,1841.0234
C5,-1058345380,250.0,4624.198,4374.198,4703.263,4453.263,4703.263,4453.263,493629.56,818448.1,267289.12,802787.1,800237.25,818448.1,9641.113,535498.0,324818.56,18210.875
C3,2097610983,250.0,1270.8616,1020.8616,1127.6274,877.62744,1127.6274,877.62744,88572.37,101613.66,82542.9,118204.85,98828.805,101613.664,11028.799,35661.953,13041.289,2784.8594
C5,408255009,250.0,3766.436,3516.436,2560.228,2310.228,2560.228,2310.228,194044.72,332328.66,135434.3,536355.75,316859.62,332328.66,10164.0205,400921.47,138283.92,15469.031
C9,117000257,250.0,1458.2228,1208.2228,1387.0493,1137.0493,1387.0493,1137.0493,113816.59,133254.03,115172.85,141771.4,132207.25,133254.03,10332.752,26598.555,19437.438,1046.7812
C4,-681037470,250.0,2199.7139,1949.7139,2348.6912,2098.6912,2348.6912,2098.6912,152435.66,284053.38,66078.06,264338.6,272270.9,284053.38,12196.062,198260.53,131617.72,11782.469
